epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,2095.8,0.80539,0.61383,1.0489,0.79054,0.66897,0.76143,0.44024,1.34852,0.89501,1.46993,0.0001948,0.0001948,0.0001948
124,2112.5,0.82228,0.58312,1.06492,0.74414,0.65298,0.74387,0.41751,1.48593,0.97159,1.53289,0.0001882,0.0001882,0.0001882
125,2128.96,0.83085,0.58509,1.05648,0.76038,0.68095,0.75823,0.42614,1.42706,0.9353,1.51682,0.0001816,0.0001816,0.0001816
126,2145.46,0.81893,0.58421,1.04895,0.75974,0.66322,0.74221,0.41598,1.41474,0.94935,1.50191,0.000175,0.000175,0.000175
127,2161.79,0.79496,0.57133,1.03774,0.7477,0.66174,0.75074,0.4219,1.44275,0.95882,1.51415,0.0001684,0.0001684,0.0001684
128,2178.37,0.8026,0.56694,1.04007,0.76676,0.68685,0.76586,0.4379,1.38865,0.92469,1.48199,0.0001618,0.0001618,0.0001618
129,2194.86,0.83803,0.57838,1.05567,0.75274,0.6925,0.77034,0.43956,1.41875,0.90434,1.47938,0.0001552,0.0001552,0.0001552
130,2211.53,0.78682,0.55731,1.03759,0.75652,0.68685,0.76286,0.44335,1.39287,0.9128,1.48682,0.0001486,0.0001486,0.0001486
131,2228.12,0.82909,0.57686,1.05637,0.71415,0.67532,0.74379,0.42464,1.46458,0.95338,1.53813,0.000142,0.000142,0.000142
132,2244.66,0.74418,0.53347,1.01528,0.74469,0.67504,0.75225,0.42381,1.40526,0.94932,1.51312,0.0001354,0.0001354,0.0001354
133,2261.3,0.79981,0.56592,1.03843,0.79805,0.63811,0.74814,0.42424,1.45495,0.9696,1.52986,0.0001288,0.0001288,0.0001288
134,2277.86,0.80159,0.57233,1.04546,0.76763,0.66851,0.75387,0.43065,1.41542,0.91909,1.50042,0.0001222,0.0001222,0.0001222
135,2294.64,0.81499,0.56715,1.04354,0.78748,0.65436,0.751,0.43979,1.40396,0.90964,1.49685,0.0001156,0.0001156,0.0001156
136,2311.11,0.79849,0.56259,1.05027,0.75267,0.66976,0.7503,0.4285,1.43806,0.91747,1.51643,0.000109,0.000109,0.000109
137,2327.86,0.77092,0.52901,1.03259,0.75436,0.68495,0.75565,0.4294,1.44243,0.90578,1.51643,0.0001024,0.0001024,0.0001024
138,2344.33,0.77157,0.54318,1.02539,0.78292,0.66591,0.75685,0.43626,1.43611,0.87716,1.51208,9.58e-05,9.58e-05,9.58e-05
139,2361.09,0.77281,0.55052,1.03589,0.76104,0.68682,0.7531,0.43008,1.43557,0.8838,1.5197,8.92e-05,8.92e-05,8.92e-05
140,2377.63,0.79649,0.55856,1.04407,0.79648,0.67208,0.7635,0.43566,1.42435,0.83456,1.51341,8.26e-05,8.26e-05,8.26e-05
141,2394.65,0.54002,0.35329,0.90626,0.74625,0.69069,0.75085,0.42708,1.42346,0.95228,1.50852,7.6e-05,7.6e-05,7.6e-05
142,2411.18,0.54099,0.34764,0.90328,0.75025,0.69572,0.75345,0.43241,1.41484,0.9518,1.50134,6.94e-05,6.94e-05,6.94e-05
143,2427.79,0.53709,0.34251,0.91357,0.76613,0.67208,0.75638,0.43328,1.39932,0.94475,1.49159,6.28e-05,6.28e-05,6.28e-05
144,2444.42,0.53345,0.33802,0.90996,0.75445,0.6626,0.74934,0.4288,1.43114,1.01125,1.517,5.62e-05,5.62e-05,5.62e-05
145,2461.08,0.53031,0.33709,0.90554,0.77365,0.64549,0.75117,0.42967,1.45586,1.01215,1.53617,4.96e-05,4.96e-05,4.96e-05
146,2477.69,0.52079,0.33269,0.89919,0.74148,0.67799,0.75075,0.43638,1.41318,0.99142,1.50614,4.3e-05,4.3e-05,4.3e-05
147,2494.28,0.52514,0.33755,0.90231,0.75925,0.65216,0.74809,0.43577,1.39407,0.99717,1.4959,3.64e-05,3.64e-05,3.64e-05
148,2510.74,0.51527,0.32652,0.90111,0.75133,0.64713,0.74491,0.4325,1.405,1.02512,1.50909,2.98e-05,2.98e-05,2.98e-05
149,2527.49,0.5106,0.32547,0.90035,0.70378,0.66329,0.73263,0.42588,1.43217,1.05641,1.5261,2.32e-05,2.32e-05,2.32e-05
150,2544.05,0.51703,0.32965,0.89436,0.76083,0.63959,0.74744,0.43305,1.40619,1.02731,1.50491,1.66e-05,1.66e-05,1.66e-05
